category_name,question,answer
수소충전소 인프라 사업,[부지검토] 수소충전소 부지의 적합성 검토 과정은?,"A
주요 검토사항은 사전검토, 실제 현장확인, 최종 적합성 여부를 종합적으로 검토하여 판단 진행
① 토지이음이나, 공간정보 시스템을 통해 규제정보를 필터링
     ※ 규제정보 : 관련법령, 이격거리, 부지면적, 트레일러 진출입 등
② T/T 등 현장일치여부 확인 및 기타 장애요인을 현장에서 확인
③ 지자체에 구축 가능 여부 등 협의를 통해 최종 적합성 판단"
수소충전소 인프라 사업,[혜택지원] 수소충전소 사업(자) 혜택 및 지원은?,"A
수소충전소 구축 일반증설은 설치비용 부지매입비 제외한 설비나 공사비용 50%, 특수 70% 지원"
수소충전소 인프라 사업,[구분] 수소(H2) 구분은 어떻게 하나?,"A
수소는 생산방식에 따라 Gray·Blue·Green 수소로 나뉨
① 그레이는 화석 연료를 통해 얻는 부생수소
② 블루는 천연가스 등에서 탄소 포집과 저장하는 개질수소
③ 그린은 물을 전기분해해서 수소와 산소로 나누어 얻는 수전해 방식으로
우리나라는 석유화학 산업이 발전되어 있는 만큼 그레이가 95%이상을 차지하고 있으며, 전기를 사용해야 하는 특성상 비용이 약2.5배 비싼 단점을 최대한 빨리 극복해야 할 과제로 남아 있음"
수소충전소 인프라 사업,[현황] 우리나라 수소충전소 운영 현황은?,"A
수소충전소 총 누적기수 기준 229기 구축 완료('22.12월말) 하였으며
'25년 까지 450기 이상의 목표 달성을 위해 최선을 다하고 있음"
수소충전소 인프라 사업,[용도] 수소의 용도는?,"A
수소는 연소 시 공기 중의 산소와 반응하여 열을 발생시키고 그 열을 에너지로 사용함
① 물과 몇 가지 산화질소만을 발생시키기 때문에
② 수십 년 동안 다양한 분야에서 안전하게 사용되어 왔으며,
③ 전 세계 수소시장은 체계적으로 정립되어 연간 5천만톤의 수소를 생산함"
수소충전소 인프라 사업,[특징] 수소의 특징은?,"A
원소기호 H, 원자번호 1인 화학원소이며, 일반적으로 원자가 2개 결합된 수소분자(H2)의 형태를 취함
① 지구상 가장 가벼운 무색, 무미, 무취의 기체
② 천연 그대로 존재하는 일은 드물며 산소와 결합한 물(H2O)처럼 대개 다른 원소와 결합된 상태로 지구상에 대량으로 존재
③ 우주 전체 질량의 약 75%가량을 차지함"
수소충전소 인프라 사업,[개념] 수소(Hydrogen)?,"A
그리스어로 물을 뜻하는 Hydro + 생성한다
Gennao를 합쳐 '물을 생산한다'라는 의미인 Hydrogen이라 명명"
완속충전기 설치지원 사업,완속충전시설 설치지원사업으로 얼마의 보조금을 지원받을 수 있나요?,"A
[‘23년 완속충전시설 보조금 지원 단가]
- 30kW 이상 : 500만원(1기), 400만원(2기), 350만원(3기 이상)
- 11W 이상 : 160만원(1기), 140만원(2기~5기), 120만원(6기 이상)
- 7W 이상 ~ 11kW 미만 : 140만원(1기), 120만원(2~5기), 100만원(6기 이상)
-키오스크 충전기 :140만원(2기)
-전력분배형 충전기 :110만원/기  
-과금형콘센트 : 35만원/기                                                                  
※ 보조금은 지원 가능한 최대 금액을 말하며, 보조금 한도를 초과하여 발생한 충전기 설치 비용은 설치희망자가 부담함"
완속충전기 설치지원 사업,신청 방법이 어떻게 되나요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
공동주택, 사업장, 대규모 주차장 등의 소유 및 운영 주체 중 공용 완속충전시설 설치희망자가 직접 신청서를 작성하고 접수를 해야합니다.
- 무공해차 통합누리집(www.ev.or.kr) 접속 -> ‘공용 완속충전시설 직접시청 버튼’ 클릭 -> 충전기 수량 등 확인 후 신청서 작성
※ 단, 상황에 따라 선택한 사업자가 아닌 다른 사업자가 배정될 수 있으며, 설치 후 5년 이내에 철거 시 보조금이 환수됩니다."
완속충전기 설치지원 사업,완속충전기 설치지원 사업의 보조금으로 급속충전기 설치 가능한가요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
해당 사업의 취지에 맞게 완속충전기 설치지원사업에서는 완속충전기에 대한 보조금만 지급됩니다."
완속충전기 설치지원 사업,완속충전기 하자보증기간이 있나요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
완속충전기의 하자보증기간은 5년이며, 하자보증기간이 끝난 이후의 사후관리는 소유자에게 책임이 있습니다."
완속충전기 설치지원 사업,완속충전시설 의무 사용기간이 있나요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
충전시설 소유자 및 사업수행기관은 최소 5년간 해당 충전시설을 운영, 관리 하여야 하며,
충전시설 소유자가 5년 이내에 충전시설을 철거하는 경우 보조금을 환수 조치할 수 있음"
충전소 이용,SM3 ZE의 경우 커넥터 분리가 힘들어요.,"A
SM3 ZE의 경우 차량키에 커넥터 분리 버튼(플러그 모양)을
 누르신 후 분리하시기 바랍니다."
충전소 이용,전기자동차 충전이 안 될 경우 어떻게 하나요?,"A
전기자동차의 특성(주행거리)상
 급속충전기 고장 등 만약의 경우를 대비하여
 반드시 충전잔량을 30% 이상 유지하여 주시기 바라며,
   급속충전기가 작동되지 않을 경우
 한국자동차환경협회(1661-9408)로 연락하시면
 가장 가까운 급속충전소 위치 및 원격지원 등의
 도움을 받으실 수 있습니다."
충전소 이용,전기자동차 급속충전소는 모두 24시간 운영되나요?,"A
공단에서 운영하고 있는 대부분의 급속충전소는
 24시간 이용이 가능하지만,
 일부 대형할인점의 경우
 영업시간에만 충전소 이용이 가능하며,
   [정보마당-자료실]의 “환경부 전국 급속충전시설 위치 및 이용가능 시간 안내”를
 확인하여 주시기 바랍니다."
충전소 이용,전기자동차 차종별 급속충전방식은 다른가요?,"A
국내 보급대상 전기자동차 차종별 급속충전방식은 서로 다르므로
 해당 차량의 충전방식에 적합한 급속충전소를 이용하여 주시기 바랍니다.
 전기차소개/전기차 충전정보 메뉴에서 차종 충전방식을 확인할 수 있습니다."
충전소 이용,급속충전기 이용방법은 어떻게 되나요?,"A
전기자동차 급속충전기 이용방법은 [참여마당-자료실]의
 “급속충전기 이용매뉴얼”을 참고하여 주시기 바랍니다."
충전소 이용,전국 급속충전기 위치는 어떻게 확인하나요?,"A
PC나 스마트폰에서 환경부 전기차 충전소(www.ev.or.kr)로
 접속하시면 급속충전기 위치 등을 확인하실 수 있습니다."
충전소 이용,급속충전기 이용 시 충전카드를 소지해야 하나요?,"A
환경부에서 운영중인 급속충전기는 회원카드를 소지하지 않아도 충전이 가능합니다.
 충전기 화면의 [비회원] 버튼을 누르면 자동인증이 이루어지고,
결제 가능한 카드로 결제 후 충전하실 수 있습니다.
 * 결제 가능한 카드 : 후불교통기능이 있는 신한, BC, 국민, 현대, 삼성, 롯데, IBK기업, 씨티
 (개별수입 중고 전기자동차  또는 개조 전기자동차 제외)"
충전소 이용,법인명의의 차량에 대한 충전카드 발급을 어떻게 해야하나요?,"A
담당자 또는 대표자분이 본인확인 인증을 완료하신 후
회원구분에서 법인을 선택하시고 관련사항을 기재하신 후
회원가입을 진행해 주세요.
 회원가입 후 [마이페이지]-[회원카드관리] 메뉴에서
충전카드 발급 신청 해주시기 바랍니다."
충전소 이용,회원가입을 하려면 반드시 아이핀(i-PIN) 아이디를 발급받아야 하나요?,"A
아이핀(i-PIN) 아이디 발급 또는 휴대폰 본인확인을 통한
 회원가입이 가능합니다."
충전소 이용,아이핀(i-PIN) 가입이 잘 안돼요.,"A
아이핀(i-PIN)은 한국인터넷진흥원에서
 발급업무를 담당하고 있으므로,
 1557-1006으로 문의하여 주시기 바랍니다."
충전소 이용,아이핀(i-PIN)이 무엇인가요?,"A
아이핀(i-PIN, Internet Personal Identification number)란,
 인터넷 상에서 주민번호를 대신하여
 아이디와 패스워드를 이용하여 본인확인을 하는 수단입니다.
   아이핀 아이디와 패스워드를 이용하면
 웹사이트에 더 이상 주민번호를 이용하지 않아도
 회원가입 및 기타서비스 이용이 가능합니다"
충전소 이용,충전카드 발급 소요기간이 얼마나 되는지요.,"A
회원카드 신청을 하시면 신청완료 메시지와 발급완료 메시지를 받으시게 됩니다.
 발급된 회원카드는 우체국 등기로 발송되며, 발급완료 문자 메시지를 받으신 후 수령까지는 영업일 기준 4일~7일, 
 도서산간지역은 영업일 기준 7일 이상 소요됩니다."
충전소 이용,회원가입 하려고 하는데 회원승인 해주세요.,"A
회원승인의 경우 업무시간 내(월~금 09:00~18:00)에 가능하오며,
 최대한 신속히 처리하도록 하겠습니다."
충전소 이용,전기자동차 충전카드 발급절차가 어떻게 되나요?,"A
현재 환경부에서는 국내 보급성능 평가시험을
 완료한 전기자동차에 대하여 충전카드를 발급하고 있습니다.
   해당 전기자동차를 구매하신분께서는
 충전카드를 발급 신청해 주시기 바랍니다.
   자세한 발급절차는 [참여마당-자료실]의
 “홈페이지 회원가입 및 회원카드 발급방법 안내”
 를 참고하시기 바랍니다."
충전소 이용,전기자동차 렌트카 또는 카셰어링을 이용할 경우 충전카드를 발급받아야 하나요?,"A
전기자동차 렌트카 또는 카셰어링을 이용하실 경우
 해당차량 내 충전카드가 비치되어 있어
 별도 발급을 받으시지 않아도 됩니다.
   만약 충전카드가 비치되어 있지 않다면,
 렌트카 또는 카셰어링 회사 고객센터에 문의하여 주시기 바랍니다."
